,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - November, 2021",,
Market,"Prices November, 2021 (Rs./Quintal)","Prices October, 2021 (Rs./Quintal)","Prices November, 2020 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,1833.48,1753.16,-,4.6%,-
Ahmednagar APMC,2134.64,1787.81,1913.72,19.4%,11.5%
Akhadabalapur APMC,1900.0,1864.77,1853.85,1.9%,2.5%
Akluj APMC,-,-,1623.68,-,-
Akola APMC,2114.62,2122.78,1835.13,-0.4%,15.2%
Amalner APMC,1956.05,1925.45,1671.95,1.6%,17.0%
Amarawati APMC,1912.1,1916.71,1730.45,-0.2%,10.5%
Ambad (Vadigodri) APMC,1954.66,1817.33,1705.59,7.6%,14.6%
Anajngaon APMC,1883.33,1733.33,1513.33,8.7%,24.4%
Ashti(Jalna) APMC,1751.17,-,-,-,-
Aurad Shahajani APMC,1641.67,1659.56,1450.0,-1.1%,13.2%
Ausa APMC,1660.33,1683.09,-,-1.4%,-
Balapur APMC,1719.5,1715.59,1592.86,0.2%,8.0%
Baramati APMC,1899.2,1848.71,1711.01,2.7%,11.0%
Barshi APMC,1703.85,1616.67,-,5.4%,-
Barshi(Vairag) APMC,1467.7,1533.33,2100.0,-4.3%,-30.1%
Beed APMC,1926.69,1757.08,1477.78,9.7%,30.4%
Bhandara APMC,1755.62,1673.57,1400.77,4.9%,25.3%
Bhivandi APMC,1845.0,1925.0,-,-4.2%,-
Bhokar APMC,1804.0,1668.61,1464.07,8.1%,23.2%
Bhokardan APMC,1778.85,1744.03,1553.05,2.0%,14.5%
Bhokardan(Pimpalgaon Renu) APMC,1802.78,1754.0,1557.02,2.8%,15.8%
Bhusaval APMC,-,1725.0,-,-,-
Bori APMC,1553.79,1548.61,1738.22,0.3%,-10.6%
Chakur APMC,1600.0,1531.0,-,4.5%,-
Chalisgaon APMC,1849.54,1760.34,1474.01,5.1%,25.5%
Chandur Bazar APMC,1736.84,1726.62,1563.8,0.6%,11.1%
Chattrapati Sambhajinagar APMC,1992.0,1951.55,1687.17,2.1%,18.1%
Chikali APMC,1487.34,1469.21,1455.45,1.2%,2.2%
Chopada APMC,1853.86,1768.8,1595.67,4.8%,16.2%
Daryapur APMC,-,-,1400.0,-,-
Deoulgaon Raja APMC,1771.77,1736.33,1439.31,2.0%,23.1%
Devala APMC,1848.16,1788.79,1529.66,3.3%,20.8%
Dharangaon APMC,1935.5,1923.65,1656.59,0.6%,16.8%
Dhule APMC,2046.79,2022.42,1613.32,1.2%,26.9%
Digras APMC,-,1887.5,1950.0,-,-
Dondaicha APMC,2030.05,1983.59,1755.3,2.3%,15.7%
Dondaicha(Sindhkheda) APMC,-,-,1531.5,-,-
Dound APMC,1826.11,1776.1,1582.92,2.8%,15.4%
Gangakhed APMC,2100.0,2100.0,1900.0,-,10.5%
Gangapur APMC,1858.34,1816.32,1655.64,2.3%,12.2%
Gevrai APMC,1942.88,1850.37,1623.81,5.0%,19.6%
Ghansawangi APMC,1729.66,1750.0,1640.0,-1.2%,5.5%
Himalyatnagar APMC,1750.0,1700.0,1900.0,2.9%,-7.9%
Hinganghat APMC,1809.38,1772.91,1516.09,2.1%,19.4%
Hingoli APMC,1806.62,1828.18,1744.99,-1.2%,3.5%
Hingoli(Kanegoan Naka) APMC,-,1600.0,-,-,-
Indapur(Bhigwan) APMC,-,-,1650.0,-,-
Jafrabad APMC,1700.0,1705.56,1534.78,-0.3%,10.8%
Jalana APMC,1987.91,1881.16,1641.29,5.7%,21.1%
Jalgaon APMC,1956.25,1890.5,1600.0,3.5%,22.3%
Jalgaon Jamod(Aasalgaon) APMC,-,1900.0,1583.61,-,-
Jamkhed APMC,1702.15,1687.86,1783.33,0.8%,-4.5%
Jawala-Bajar APMC,1650.0,1650.0,1740.14,-,-5.2%
Kada APMC,1725.26,1833.33,1616.67,-5.9%,6.7%
Kaij APMC,1726.01,1624.79,1515.78,6.2%,13.9%
Kalamb (Dharashiv) APMC,1719.49,1705.83,1644.74,0.8%,4.5%
Kalvan APMC,1651.0,-,1551.0,-,6.5%
Kannad APMC,1944.48,1907.69,1727.27,1.9%,12.6%
Karanja APMC,1947.52,1883.26,1622.61,3.4%,20.0%
Karjat(Raigad) APMC,1661.18,1681.88,1623.44,-1.2%,2.3%
Karmala APMC,1709.35,1681.05,1738.88,1.7%,-1.7%
Katol APMC,1790.02,1760.04,1556.37,1.7%,15.0%
Khamgaon APMC,1822.01,1790.88,1553.03,1.7%,17.3%
Kille Dharur APMC,1704.46,1742.0,1625.91,-2.1%,4.8%
Kopargaon APMC,1900.18,1837.87,1596.58,3.4%,19.0%
Kurdwadi APMC,2200.0,1801.0,-,22.1%,-
Kurdwadi(Modnimb) APMC,1631.67,1741.67,1488.24,-6.3%,9.6%
Lakhandur APMC,1753.57,-,-,-,-
Lasalgaon APMC,1956.08,1904.9,1610.54,2.7%,21.4%
Lasalgaon(Niphad) APMC,1947.69,1919.65,1607.68,1.5%,21.1%
Lasalgaon(Vinchur) APMC,1935.81,1897.35,1626.93,2.0%,19.0%
Lasur Station APMC,1951.33,1917.41,1608.88,1.8%,21.3%
Latur APMC,1994.6,1865.41,1722.65,6.9%,15.8%
Latur(Murud) APMC,1411.76,1427.27,2200.0,-1.1%,-35.8%
Loha APMC,1537.08,1549.22,1532.07,-0.8%,0.3%
Lonar APMC,1829.05,1754.57,1788.26,4.2%,2.3%
Majalgaon APMC,1902.81,1738.75,1582.63,9.4%,20.2%
Malegaon APMC,2032.97,1907.18,1648.69,6.6%,23.3%
Malegaon(Vashim) APMC,-,-,1450.0,-,-
Malkapur APMC,1920.93,1864.45,1645.26,3.0%,16.8%
Mangal Wedha APMC,2247.5,2271.18,2024.17,-1.0%,11.0%
Mangrulpeer APMC,1865.0,1787.3,1500.0,4.3%,24.3%
Manmad APMC,1822.18,1807.33,1552.04,0.8%,17.4%
Manora APMC,-,1800.0,1746.75,-,-
Mantha APMC,1692.29,1671.3,1551.83,1.3%,9.1%
Manwat APMC,1900.0,1724.71,-,10.2%,-
Mehekar APMC,1566.67,1589.83,1528.33,-1.5%,2.5%
Morshi APMC,1673.73,1677.4,1546.67,-0.2%,8.2%
Mumbai APMC,3351.69,3539.61,2731.91,-5.3%,22.7%
Murtizapur APMC,1907.3,1883.79,1515.91,1.2%,25.8%
Murum APMC,1625.0,-,1395.0,-,16.5%
Nagpur APMC,2345.1,2354.72,2297.81,-0.4%,2.1%
Nampur APMC,1596.36,1641.6,1551.88,-2.8%,2.9%
Nanded APMC,1750.14,1704.5,1548.86,2.7%,13.0%
Nandgaon APMC,1932.45,1911.2,1589.93,1.1%,21.5%
Nandgaon Khandeshwar APMC,-,-,1332.79,-,-
Nandura APMC,1975.0,1890.67,1677.89,4.5%,17.7%
Nandurbar APMC,2028.62,1997.86,1691.22,1.5%,19.9%
Navapur APMC,1815.0,-,1551.9,-,16.9%
Newasa APMC,-,2100.0,2115.38,-,-
Nilanga APMC,-,1600.0,-,-,-
Nira(Saswad) APMC,2210.43,-,-,-,-
Pachora APMC,1737.21,1738.7,-,-0.1%,-
Paithan APMC,1900.4,1817.09,1625.0,4.6%,16.9%
Palam APMC,-,2230.5,-,-,-
Palghar APMC,2577.68,2687.08,2591.81,-4.1%,-0.6%
Palus APMC,-,-,2200.0,-,-
Pandharpur APMC,2200.0,1700.0,1801.0,29.4%,22.1%
Parali Vaijyanath APMC,1611.0,-,-,-,-
Paranda APMC,1550.0,1656.67,-,-6.4%,-
Parbhani APMC,1594.41,1544.76,1612.97,3.2%,-1.1%
Partur APMC,1832.28,1812.66,1372.44,1.1%,33.5%
Pathardi APMC,1914.29,1856.0,2054.55,3.1%,-6.8%
Pathari APMC,1675.0,1579.78,1538.35,6.0%,8.9%
Patur APMC,1725.94,1639.16,1472.51,5.3%,17.2%
Phaltan APMC,2000.0,1868.8,-,7.0%,-
Pulgaon APMC,1300.0,-,-,-,-
Pune APMC,3165.27,4145.48,4278.97,-23.6%,-26.0%
Rahata APMC,1849.97,1790.11,1576.76,3.3%,17.3%
Rahuri APMC,1979.35,1763.33,1648.7,12.2%,20.1%
Rahuri(Vambori) APMC,1722.89,1711.1,1494.83,0.7%,15.3%
Ramtek APMC,1750.0,1705.04,1554.42,2.6%,12.6%
Raver APMC,1955.08,1904.32,1618.87,2.7%,20.8%
Sakri APMC,-,-,1487.65,-,-
Sangamner APMC,1854.21,1890.63,1622.06,-1.9%,14.3%
Sangli APMC,2652.56,2727.98,2482.01,-2.8%,6.9%
Sangrampur APMC,-,-,1500.0,-,-
Sangrampur(Varvatbakal) APMC,1750.0,-,1519.23,-,15.2%
Satana APMC,2037.65,2010.58,1737.76,1.4%,17.3%
Savner APMC,1767.05,1750.79,1437.83,0.9%,22.9%
Selu APMC,1775.0,1730.0,1600.0,2.6%,10.9%
Sengoan APMC,-,-,1441.67,-,-
Shahada APMC,1946.44,1973.43,1654.38,-1.4%,17.6%
Shegaon APMC,1783.33,1729.17,1420.0,3.1%,25.6%
Shevgaon APMC,2018.46,1835.15,1525.65,10.0%,32.3%
Shevgaon(Bodhegaon) APMC,1794.59,1682.86,1609.52,6.6%,11.5%
Shirpur APMC,1900.09,1921.58,1601.87,-1.1%,18.6%
Shirur APMC,1608.68,1567.45,1400.0,2.6%,14.9%
Shrigonda APMC,1992.79,1989.24,2028.12,0.2%,-1.7%
Shrigonda(Gogargaon) APMC,1989.24,1988.8,-,-,-
Shrirampur APMC,1748.95,1734.29,1582.28,0.8%,10.5%
Shrirampur(Belapur) APMC,1436.36,1604.55,1554.48,-10.5%,-7.6%
Sillod APMC,1917.59,1808.11,1615.36,6.0%,18.7%
Sillod(Bharadi) APMC,1892.03,1768.57,1600.0,7.0%,18.2%
Sindi(Selu) APMC,1799.29,1720.08,1506.5,4.6%,19.4%
Sinner APMC,1920.0,1972.48,1646.51,-2.7%,16.6%
Solapur APMC,2553.34,2545.39,2567.28,0.3%,-0.5%
Sonpeth APMC,-,1606.67,-,-,-
Tadkalas APMC,1602.25,1600.0,-,0.1%,-
Taloda APMC,1700.0,-,1600.0,-,6.2%
Tasgaon APMC,2075.52,2112.76,2263.39,-1.8%,-8.3%
Telhara APMC,1815.0,1665.2,1503.57,9.0%,20.7%
Tuljapur APMC,1600.0,1300.0,-,23.1%,-
Tumsar APMC,1857.88,1819.01,1608.78,2.1%,15.5%
Ulhasnagar APMC,2782.12,2880.07,3196.54,-3.4%,-13.0%
Umared APMC,2100.0,2100.0,2100.0,-,-
Umarga APMC,1655.56,1522.5,-,8.7%,-
Umari APMC,-,1515.62,-,-,-
Umarked(Danki) APMC,1917.65,1905.56,-,0.6%,-
Umarkhed APMC,1912.5,1875.0,-,2.0%,-
Vaduj APMC,1975.0,1980.43,1900.0,-0.3%,4.0%
Vadvani APMC,1705.67,2000.0,1600.0,-14.7%,6.6%
Vaijpur APMC,1908.66,1895.65,-,0.7%,-
Vani APMC,-,1650.0,-,-,-
Varora APMC,-,-,1525.0,-,-
Varud(Rajura Bazar) APMC,1770.0,1753.0,-,1.0%,-
Vasai APMC,3356.06,3281.08,-,2.3%,-
Wardha APMC,1847.5,1789.82,1645.0,3.2%,12.3%
Washim APMC,1724.26,1758.21,1601.3,-1.9%,7.7%
Washim(Ansing) APMC,1762.12,1676.79,1500.0,5.1%,17.5%
Yawal APMC,1804.29,1840.0,1713.48,-1.9%,5.3%
Yeola APMC,1825.36,1777.19,1540.06,2.7%,18.5%
Yeotmal APMC,4595.97,1814.03,1523.38,153.4%,201.7%
Average,1895.08,1850.61,1694.94,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

